prompt,response,originality,elaboration,dissimilarity,elaboration_SW,flexibility,flexibility_augmented
brick,To break a window.,1.0,5,0.29063063859939575,3,1,0.8134076325565687
brick,as a model,4.0,3,0.3242020010948181,1,0,0.0
brick,use it to brake something,1.0,5,0.26158928871154785,3,3,2.3595069233367107
brick,to hold up a table,1.7,5,0.2692045569419861,2,1,1.6268152651131373
brick,can destroy someone's house,1.0,5,0.29371941089630127,4,1,0.9035798716649781
brick,Use it in place of a sticky note to help you remember your next appointment,3.0,15,0.3525199294090271,8,3,2.3595069233367107
brick,build decorative walls in yard,1.4,5,0.2990140914916992,4,1,0.7509287402904424
brick,use as steps,1.3,3,0.3204914331436157,2,1,0.7612293144208038
brick,strap on some leather and use as shoes,2.8,8,0.3141499161720276,4,1,0.7612293144208038
brick,act like the is a real person,1.4,7,0.3324734568595886,4,1,0.7612293144208038
brick,as a weapon,1.6,3,0.3202183246612549,1,1,0.7509287402904424
brick,break another brick,1.3,3,0.2882784605026245,3,2,1.5746369469773724
brick,door wedge,1.2,2,0.3401968479156494,2,1,0.9235055724417427
brick,bookend,2.1,1,0.32549726963043213,1,0,0.0
brick,use it as a hammer,1.6,5,0.28909748792648315,2,2,1.512158054711246
brick,paste a picture on it and have it be a picture frame,1.7,12,0.34903717041015625,4,1,0.7509287402904424
brick,to build a house,1.1,4,0.26357877254486084,2,2,1.6545086119554204
brick,something to draw on,1.4,4,0.2855815291404724,2,1,0.8473488686254644
brick,using it to make something rough or smooth (like sand paper),3.0,13,0.3392396569252014,10,3,2.3595069233367107
brick,build to make steps,1.0,4,0.2777954339981079,3,2,1.512158054711246
brick,a step up,1.7,3,0.29990875720977783,1,0,0.0
brick,draw on it with chalk like it was a chalk board,1.8,11,0.354810893535614,5,2,1.512158054711246
brick,mailbox,1.6,1,0.35017234086990356,1,0,0.0
brick,necklace,1.8,1,0.3883412480354309,1,0,0.0
brick,make your bed higher,1.3,4,0.32186585664749146,3,2,1.6648091860857819
brick,hammer,1.8,1,0.37277036905288696,1,0,0.0
brick,hold something down,1.3,3,0.28017669916152954,2,2,1.660756501182033
brick,outdoor patio,1.0,2,0.36906111240386963,2,0,0.0
brick,holder,1.0,1,0.3982611298561096,1,1,0.9235055724417427
brick,elevate appliances,2.5,2,0.31376928091049194,2,0,0.0
brick,build a house,1.1,3,0.2666866183280945,2,2,1.6545086119554204
brick,wall,1.0,1,0.36889708042144775,1,1,0.7509287402904424
brick,dress it up as someone,2.6,5,0.30837470293045044,2,1,1.5018574805808849
brick,I think if you strike a rock against one it will spark to make a fire. I'm not sure if that is possible though,1.8,26,0.4003618359565735,12,3,2.415737926376224
brick,pencil and pen holder,1.8,4,0.3211819529533386,3,1,0.9235055724417427
brick,car stop,2.8,2,0.3239876627922058,2,1,1.6946977372509289
brick,kill an insect,2.0,3,0.30379724502563477,2,0,0.0
brick,gardening,1.4,1,0.3763267397880554,1,0,0.0
brick,use it to wash a dog,3.0,6,0.28999125957489014,3,2,1.512158054711246
brick,getting animals from trees,2.2,4,0.2849263548851013,3,0,0.0
brick,holding down something light- weight,1.3,5,0.30537939071655273,4,1,1.6946977372509289
brick,garden markers,2.5,2,0.3364607095718384,2,1,0.7509287402904424
brick,everyone paints a and makes it part of a wall,2.2,10,0.33180510997772217,5,1,1.5018574805808849
brick,Decorating a could be a fun activity for children to do on a rainy day. All you would need are fuzzy pipe cleaners  glue  googly eyes  construction paper  markers  etc.,2.2,32,0.3628925085067749,21,2,1.6085781830462682
brick,to put under one side of an object to balance it out,1.7,12,0.3439199924468994,5,3,3.2813238770685578
brick,used in floor tiles,1.0,4,0.3129928708076477,3,1,0.7612293144208038
brick,to form an arrangement,2.3,4,0.3167775869369507,2,0,0.0
brick,pretend it is a slice of cake,2.2,7,0.32913273572921753,3,1,0.7509287402904424
brick,build a porch,1.0,3,0.2714189887046814,2,1,0.7509287402904424
brick,building a building,1.0,3,0.2844371199607849,2,1,0.8134076325565687
brick,chip,1.7,1,0.3991019129753113,1,0,0.0
brick,hold something down with it,1.0,5,0.29097461700439453,2,3,2.411685241472475
brick,paperwright,1.3,1,0.31527388095855713,1,0,0.0
brick,make a gate out of,1.0,5,0.28026241064071655,2,1,0.7612293144208038
brick,regular weights,1.3,2,0.35523730516433716,2,0,0.0
brick,a fireplace,1.0,2,0.3216342329978943,1,0,0.0
brick,fire place,1.0,2,0.3174649477005005,2,1,0.8473488686254644
brick,dice,3.5,1,0.3746544122695923,1,0,0.0
brick,to pave a street,1.0,4,0.29134291410446167,2,0,0.0
brick,As a paper weight,1.0,4,0.3138578534126282,2,1,1.6946977372509289
brick,decoration,1.9,1,0.3996468186378479,1,0,0.0
brick,window breaker,1.8,2,0.3232484459877014,2,1,0.9035798716649781
brick,breaking a nut,2.0,3,0.2686002254486084,2,0,0.0
brick,hold open a door,1.4,4,0.30666375160217285,3,2,2.660418777440054
brick,use it as a weight (lifting weights) to increase your strength,1.7,13,0.36298972368240356,8,3,2.3595069233367107
brick,pet instead of pet rock,1.4,5,0.31665199995040894,4,0,0.0
brick,self defense,1.5,2,0.35952311754226685,2,0,0.0
brick,make a fence,1.3,3,0.2657613754272461,2,1,0.7612293144208038
brick,houses,1.0,1,0.37828558683395386,1,0,0.0
brick,paint it (to be used as decoration) so it doesn't look like a brick,1.7,17,0.34205299615859985,9,2,3.7958459979736574
brick,a slingshot pellet for a big slingshot,3.7,7,0.35637354850769043,4,0,0.0
brick,to give texture,2.3,3,0.2829267978668213,2,0,0.0
brick,to eat,1.0,2,0.3067951202392578,1,0,0.0
brick,buildings,1.0,1,0.39972585439682007,1,0,0.0
brick,put paint on it for a textured effect,2.2,8,0.33410733938217163,4,3,2.3255656872678148
brick,Brickball (play baseball with the instead of a bat),1.8,11,0.3674454092979431,7,0,0.0
brick,dust for paint,4.0,3,0.2954925298690796,2,1,0.7612293144208038
brick,bed post,1.4,2,0.318268358707428,2,1,0.9035798716649781
brick,the grain from the can be used for face paint,2.6,10,0.3698441982269287,4,1,1.5224586288416075
brick,to put out a small fire,1.4,6,0.305336594581604,3,1,1.6268152651131373
brick,A dog bowl. For a tiny   dog.,3.0,9,0.32503175735473633,6,0,0.0
brick,A blade duller,2.2,3,0.309772253036499,2,0,0.0
brick,extra weight in the back of a truck,1.7,8,0.34018057584762573,4,1,0.8473488686254644
brick,keep a wagon or other rolling object from rolling,1.7,9,0.337865948677063,5,2,2.660418777440054
brick,use it for building,1.0,4,0.2715921998023987,2,3,2.3255656872678148
brick,building houses,1.0,2,0.3165179491043091,2,1,0.8134076325565687
brick,you can grow moss on them by pouring buttermilk on them,3.0,11,0.3593233823776245,4,0,0.0
brick,to pack soil,2.2,3,0.26166683435440063,2,0,0.0
brick,use it for a sinker,2.3,5,0.2846742272377014,2,2,1.512158054711246
brick,weight training,1.7,2,0.3602188229560852,2,1,0.8473488686254644
brick,plant stand,2.6,2,0.34670066833496094,2,1,0.8134076325565687
brick,use to hold things up,1.2,5,0.2662736773490906,3,2,1.5746369469773724
brick,canvas for painting,2.3,3,0.3455684781074524,2,0,0.0
brick,nail file,2.7,2,0.32280945777893066,2,0,0.0
brick,to paint and put in a windowpane for decoration,1.7,9,0.3208998441696167,4,2,1.5746369469773724
brick,to grind and mash food,2.7,5,0.32090604305267334,3,0,0.0
brick,step ladders,1.5,2,0.3099910020828247,2,0,0.0
brick,you could use it as a paperweight,1.2,7,0.3156834840774536,3,2,2.27338736913205
brick,kill someone,1.0,2,0.315712571144104,2,1,0.7509287402904424
brick,Cooking.,1.4,2,0.31261640787124634,2,0,0.0
brick,bridge,1.2,1,0.40838485956192017,1,0,0.0
brick,Cooking surface,1.8,2,0.313576340675354,2,0,0.0
brick,building a new school,1.0,4,0.3237040042877197,3,1,0.8134076325565687
brick,small table,1.7,2,0.32116901874542236,2,1,1.6268152651131373
brick,hit someone,1.7,2,0.31180673837661743,2,1,0.7509287402904424
brick,doorstop,1.5,1,0.3363988995552063,1,0,0.0
brick,resist,2.0,1,0.3814498782157898,1,0,0.0
brick,walkway material,1.0,2,0.33080440759658813,2,0,0.0
brick,A cover for a hidden compartment,2.6,6,0.3280595541000366,3,0,0.0
brick,use to knock out teeth that are bothering you,3.0,9,0.31033337116241455,4,1,0.7612293144208038
brick,hide a key under it,3.7,5,0.29876792430877686,2,1,0.7509287402904424
brick,make it into a picture frame,2.2,6,0.29161733388900757,3,2,1.512158054711246
brick,as a robot's head - in model,4.0,8,0.34537309408187866,5,0,0.0
brick,floors,1.1,1,0.40074074268341064,1,0,0.0
brick,free weights,1.3,2,0.3832457661628723,2,0,0.0
brick,a paper weight,1.2,3,0.2906208634376526,2,1,1.6946977372509289
brick,you could throw it,2.2,4,0.3015451431274414,2,3,2.3595069233367107
brick,a book end,1.8,3,0.31629061698913574,2,0,0.0
brick,build,1.0,1,0.3768010139465332,1,1,0.7509287402904424
brick,use as a ladder,1.7,4,0.2862434983253479,2,1,0.7612293144208038
brick,take a and toss it back and forth,1.4,8,0.35989052057266235,4,1,0.7509287402904424
brick,paper weight,1.2,2,0.31997454166412354,2,1,1.6946977372509289
brick,fire pit,1.6,2,0.313603937625885,2,0,0.0
brick,to kill a bug,2.0,4,0.2834840416908264,2,1,0.9035798716649781
brick,breaking a window,1.2,3,0.2920910716056824,2,1,0.9035798716649781
brick,cutting,2.0,1,0.3715844750404358,1,0,0.0
brick,as a brake from stopping your car to roll down a hill,3.0,12,0.35984688997268677,5,1,0.8473488686254644
brick,vase,3.4,1,0.3813002109527588,1,0,0.0
brick,a cruse control mechanism,4.0,4,0.30042964220046997,3,0,0.0
brick,lining a walkway to a house,1.0,6,0.28286802768707275,3,1,0.9035798716649781
brick,headrest,1.8,1,0.3279099464416504,1,0,0.0
brick,use for freeweights to build strength,1.8,6,0.3273107409477234,4,2,1.512158054711246
brick,you can flush it town the toilet,2.7,7,0.3180878758430481,3,1,0.7509287402904424
brick,decorate landscaping,2.5,2,0.3398473858833313,2,0,0.0
brick,stool,1.6,1,0.3791157007217407,1,0,0.0
brick,to make an oven,2.7,4,0.2729526162147522,2,1,0.7612293144208038
brick,plate,2.5,1,0.3755594491958618,1,0,0.0
brick,a home for an insect,2.5,5,0.3191525340080261,2,0,0.0
brick,hide stuff inside,3.3,3,0.3013802170753479,3,0,0.0
brick,hold up a table,2.5,4,0.27400773763656616,2,1,1.6268152651131373
brick,throw at something,1.2,3,0.2957006096839905,2,1,1.6946977372509289
brick,fireplace,1.1,1,0.3831526041030884,1,0,0.0
brick,engrave/carve somthing in it,2.0,4,0.34818214178085327,2,1,0.7509287402904424
brick,you can use it as a decorating tool outside your house,1.4,11,0.3272637724876404,5,4,4.26274907125971
brick,use the as a step stool,1.0,6,0.28330421447753906,3,1,0.7612293144208038
brick,You can use to exterminate all honey badgers,2.6,8,0.35550087690353394,4,1,0.7612293144208038
brick,walking path,1.0,2,0.3536936044692993,2,0,0.0
brick,kill a bug,2.2,3,0.29376155138015747,2,1,0.9035798716649781
brick,you can use to build an empire,1.8,7,0.3502054214477539,3,2,1.512158054711246
brick,carve it into sculpture,1.8,4,0.3060495853424072,2,1,0.7509287402904424
brick,raise a bed off the floor,1.4,6,0.32545459270477295,3,1,0.9035798716649781
brick,painting them to make some sort of collage,1.4,8,0.34152138233184814,4,1,0.7612293144208038
brick,forts,1.0,1,0.39603686332702637,1,0,0.0
brick,stopper on a book shelf,1.7,5,0.28703057765960693,3,1,0.9235055724417427
brick,to build stairs,1.0,3,0.26030856370925903,2,1,0.7509287402904424
brick,study,2.0,1,0.3863682150840759,1,0,0.0
brick,play house,1.3,2,0.31895869970321655,2,2,1.6648091860857819
brick,book end,2.2,2,0.3879888653755188,2,0,0.0
brick,throwing,1.3,1,0.36754947900772095,1,0,0.0
brick,to level something out,1.4,4,0.2735643982887268,2,1,0.8473488686254644
brick,ball,1.6,1,0.3962298631668091,1,0,0.0
brick,put in a house,1.3,4,0.27666735649108887,2,2,1.7169875042215468
brick,doll house,1.0,2,0.33471131324768066,2,1,0.9035798716649781
brick,freeze a,1.4,2,0.3218642473220825,1,0,0.0
brick,a calf muscle builder,2.8,4,0.2950676679611206,3,0,0.0
brick,can be used as a weight for working out,1.0,9,0.34319591522216797,3,2,1.6085781830462682
brick,door holder,1.2,2,0.32523226737976074,2,1,1.8470111448834854
brick,throwing at the window,1.3,4,0.3146752715110779,2,1,0.9035798716649781
brick,hole fillers,1.7,2,0.3104971647262573,2,1,0.8134076325565687
brick,to reinforce,1.7,2,0.33103662729263306,1,0,0.0
brick,use it to keep balanced place it on your head,1.8,10,0.3199954628944397,5,4,3.283012495778453
brick,house,1.0,1,0.39457035064697266,1,1,0.9035798716649781
brick,to hold down a planter,1.4,5,0.2890234589576721,2,1,0.8134076325565687
brick,build porch,1.0,2,0.3115529417991638,2,1,0.7509287402904424
brick,sidewalk,1.0,1,0.36678892374038696,1,1,0.9035798716649781
brick,a meat tenderizing tool,2.2,4,0.29660874605178833,3,1,0.9235055724417427
brick,hold down a balloon,1.7,4,0.28112876415252686,2,1,0.8134076325565687
brick,put on a loose roof during a hurricane or storm to hold it down,1.4,14,0.36338579654693604,6,2,2.3777440054035797
brick,computer case,2.7,2,0.32261133193969727,2,0,0.0
brick,carry it around anywhere you go,1.0,6,0.32444924116134644,4,1,0.7509287402904424
brick,can be used for a  tossing game,1.4,7,0.32553404569625854,3,1,0.7612293144208038
brick,door stop,1.0,2,0.31424880027770996,2,2,1.7708544410672071
brick,wash cloth,2.3,2,0.32278895378112793,2,0,0.0
brick,get a bunch of them and make a wall,1.0,9,0.32091933488845825,4,3,2.3595069233367107
brick,hold up a table with a broken leg,1.7,8,0.320884644985199,4,1,1.6268152651131373
brick,car,1.4,1,0.38751935958862305,1,1,0.8473488686254644
brick,make a lamp out if it,1.7,6,0.29285454750061035,2,2,1.512158054711246
brick,a way to make a point,1.8,6,0.3072119951248169,3,1,0.7612293144208038
brick,you can use to cement to the bottom of your shoes to make you taller.,1.4,16,0.33668971061706543,7,1,1.5224586288416075
brick,building towers,1.0,2,0.33935123682022095,2,1,0.8134076325565687
brick,Could rub to produce a powder of the color to use for art or other.,2.6,16,0.36194080114364624,8,1,2.2836879432624113
brick,place filler,1.7,2,0.32124340534210205,2,1,0.8473488686254644
brick,a tire,1.8,2,0.2866958975791931,1,1,0.9035798716649781
brick,use holes as pen holder,2.0,5,0.2855176329612732,4,2,1.6847348868625465
brick,hold a car in place,1.3,5,0.28304553031921387,3,2,2.5081053698074975
brick,toy,1.7,1,0.3642326593399048,1,0,0.0
brick,exercise,1.6,1,0.3829845190048218,1,1,0.7509287402904424
brick,building steps,1.0,2,0.31669801473617554,2,1,0.8134076325565687
brick,to add weight or lift weights,1.7,6,0.3244730830192566,4,1,1.6946977372509289
brick,to hammer something,1.7,3,0.26668500900268555,2,1,0.8473488686254644
brick,use as a musical instrument when you bang them together,2.2,10,0.32520627975463867,5,1,0.7612293144208038
brick,throw them to break something down,1.0,6,0.2818503975868225,3,2,2.5081053698074975
brick,to use for a decoration,2.7,5,0.28807854652404785,2,1,0.7612293144208038
brick,massage therapy,2.6,2,0.35573703050613403,2,0,0.0
brick,hold a door open,1.0,4,0.3033384084701538,3,2,2.660418777440054
brick,fashion accessory,2.5,2,0.3681650161743164,2,0,0.0
brick,building a wall,1.0,3,0.2618340849876404,2,2,1.564336372847011
brick,reshape a with power tools,2.2,5,0.30371010303497314,3,0,0.0
brick,"as an agent to block a flow of water (in a levee sort of situation, to dam up floods)",3.0,22,0.38131630420684814,12,1,1.5018574805808849
brick,step stone,1.0,2,0.3072993755340576,2,0,0.0
brick,holding up a car missing rims,3.0,6,0.3089194893836975,4,1,0.8473488686254644
brick,used as a weight to hold onto things,1.3,8,0.35099172592163086,5,3,2.421985815602837
brick,movie slate,1.8,2,0.3595777750015259,2,0,0.0
brick,used for building a fort as a kid,1.7,8,0.3121938109397888,4,2,1.5746369469773724
brick,to tenderize meat,3.0,3,0.29420149326324463,2,0,0.0
brick,use it to dig a hole,2.0,6,0.26353687047958374,3,3,2.3255656872678148
brick,steps,1.2,1,0.3766968846321106,1,0,0.0
brick,DIY demolition agent for small projects,1.4,6,0.32174015045166016,5,1,0.8134076325565687
brick,set up for a still life for a painting,2.0,9,0.3445570468902588,4,0,0.0
brick,play frisbee,1.8,2,0.3475267291069031,2,1,0.7612293144208038
brick,throw at someone as a weapon,1.7,6,0.3216676115989685,3,2,2.3492063492063493
brick,as a hammer,2.0,3,0.2877877354621887,1,0,0.0
brick,break things,1.0,2,0.3089505434036255,2,1,0.8134076325565687
brick,to stop the car rolling down the hill,1.7,8,0.3346177935600281,4,2,2.618203309692672
brick,use in artwork,1.8,3,0.31693750619888306,2,1,0.7612293144208038
brick,press flowers,2.0,2,0.3466271758079529,2,0,0.0
brick,weights,1.5,1,0.3906862735748291,1,0,0.0
brick,lining them up to make a giant picture on a large surface area,1.4,13,0.3580594062805176,7,1,0.7612293144208038
brick,a small anchor for a boat,3.0,6,0.3093705177307129,3,1,0.8134076325565687
brick,"use them as ""feet"" to hold up a table or chair higher",1.8,14,0.351234495639801,8,3,3.291624451198919
brick,to heat something up because they get hot in the summer and can keep things warm,2.2,16,0.3923799991607666,8,2,2.618203309692672
brick,to fill a hole,1.0,4,0.2739652991294861,2,1,0.8134076325565687
brick,"paint it, decorate, make it a garden figure",1.7,10,0.33190447092056274,7,2,3.024316109422492
brick,door stopper,1.0,2,0.31939953565597534,2,1,1.8470111448834854
brick,to put around your garden,1.0,5,0.2695695161819458,3,2,1.564336372847011
brick,road,1.2,1,0.3892820477485657,1,0,0.0
brick,shattered & cemented to make mosaics,2.3,6,0.3397412896156311,5,1,0.7612293144208038
brick,anchor,1.9,1,0.39982300996780396,1,0,0.0
brick,Use it as a lifting weight in order to get stronger,1.0,11,0.36540788412094116,6,3,3.206855791962175
brick,to help keep things heavy,1.8,5,0.2907717823982239,4,1,0.9235055724417427
brick,build a wall or boundary,1.0,5,0.3108203411102295,3,1,1.5018574805808849
brick,ammunition for a big sling shot,1.8,6,0.3294835686683655,4,0,0.0
brick,build a garage,1.2,3,0.2735241651535034,2,1,0.7509287402904424
brick,weight used in muscle training,1.4,5,0.3427467942237854,4,2,1.6085781830462682
brick,skates (ice),2.7,4,0.38080960512161255,4,0,0.0
brick,pet,1.4,1,0.3870214819908142,1,0,0.0
brick,make art of it,3.0,4,0.28683388233184814,2,2,2.27338736913205
brick,as a writing tool  you can use the corners to scrape writing on to cement or rock,3.0,17,0.3525471091270447,8,2,1.6847348868625465
brick,"put on the back of a ""just married"" car",2.5,11,0.3146970272064209,6,2,1.660756501182033
brick,using to contain a fire by building a little wall around the fire,1.4,13,0.3393319845199585,8,2,1.564336372847011
brick,to play catch with,1.7,4,0.2867801785469055,2,1,0.7612293144208038
brick,to make loud noises for sound effects,2.7,7,0.3245698809623718,5,1,0.7612293144208038
brick,something to hold up a bed,1.7,6,0.28834444284439087,3,3,2.564336372847011
brick,you can use a brick to hold down a balloon,1.7,10,0.32402127981185913,4,2,2.335866261398176
brick,raised garden bed,2.5,3,0.2985196113586426,3,2,1.6545086119554204
brick,make a pathway,1.2,3,0.2954920530319214,2,1,0.7612293144208038
brick,sidewalks,1.0,1,0.3896735906600952,1,0,0.0
brick,grind something with it,2.0,4,0.276914119720459,2,2,1.598277608915907
brick,barrier,1.2,1,0.38173961639404297,1,0,0.0
brick,tool,1.6,1,0.37927722930908203,1,1,0.9235055724417427
brick,Chalkboard,2.6,1,0.3098393678665161,1,0,0.0
brick,sanding off paint,2.3,3,0.2917634844779968,2,1,0.7612293144208038
brick,as the line in the middle of a volleyball court,2.6,10,0.3391895294189453,4,0,0.0
brick,car stoppers to hold a car in place,1.7,8,0.31893306970596313,5,2,2.5081053698074975
brick,cell phone,2.0,2,0.36232101917266846,2,0,0.0
brick,Drop it off a building,1.4,5,0.27991992235183716,2,2,1.564336372847011
brick,painting surface,2.6,2,0.3232128620147705,2,0,0.0
brick,"you can use it as art, or to paint on (as a canvas)",1.7,16,0.34683310985565186,7,2,2.27338736913205
brick,use the corner of the brick as a knife,3.0,9,0.30426257848739624,4,1,1.5224586288416075
brick,stack a bunch of bricks together to form a building or make a boat or something,1.0,16,0.36420315504074097,9,3,3.2693346842283013
brick,broken down and use as texture for paint,4.0,8,0.3316934108734131,4,1,1.5224586288416075
brick,to crush someone with,2.0,4,0.27717506885528564,2,1,0.7509287402904424
brick,used,1.0,1,0.399103045463562,1,1,0.7612293144208038
brick,to decorate a house,1.7,4,0.2654140591621399,2,1,0.9035798716649781
brick,throw it to each other for fun,1.8,7,0.3282163143157959,2,2,1.598277608915907
brick,I've seen many paintings or drawings on them,1.7,9,0.33632469177246094,5,0,0.0
brick,hold down a blanket on the beach,2.3,7,0.3197558522224426,3,1,0.8134076325565687
brick,a footstool,2.7,2,0.30132120847702026,1,0,0.0
brick,put under a table legs to make a table taller,2.2,10,0.31059902906417847,6,2,2.388044579533941
brick,building a shelter,1.0,3,0.2807290554046631,2,1,0.8134076325565687
brick,building,1.0,1,0.4248691201210022,1,1,0.8134076325565687
brick,to hold things together,1.3,4,0.3076364994049072,3,1,0.8134076325565687
brick,can be catapulted,1.0,3,0.33331847190856934,1,0,0.0
brick,used to keep a car from rolling down a hill,1.7,10,0.3431715965270996,5,3,3.4555893279297534
brick,peephole in fort wall,2.3,4,0.33504682779312134,3,1,0.7509287402904424
brick,"balancing on head, show balance",2.0,6,0.33389025926589966,5,0,0.0
brick,something to write on,1.5,4,0.27720749378204346,2,1,0.8473488686254644
brick,A mouse cave,3.4,3,0.30558425188064575,2,0,0.0
brick,decorative purposes,1.5,2,0.3293810486793518,2,0,0.0
brick,enclose,1.8,1,0.379741907119751,1,0,0.0
brick,sculpture,1.8,1,0.3813025951385498,1,0,0.0
brick,picture (break it down and put them together),2.0,10,0.32236313819885254,6,2,1.564336372847011
brick,placing it under the wheels of a vehicle to keep it from rolling,1.7,13,0.376132607460022,5,2,2.5979398851739277
brick,hold down a tarp on a car,1.4,7,0.30150818824768066,3,2,1.660756501182033
brick,to paint on,1.6,3,0.274483859539032,1,1,0.7612293144208038
brick,use it as a weight,1.2,5,0.28646790981292725,2,3,2.3595069233367107
brick,sculptures,1.6,1,0.38758033514022827,1,0,0.0
brick,to use as an archway,2.0,5,0.28711998462677,2,1,0.7612293144208038
brick,lizard bed,3.8,2,0.31140291690826416,2,1,0.9035798716649781
brick,to steady an unbalanced table (if one leg is too short),1.2,13,0.36778783798217773,8,2,1.7169875042215468
brick,use to raise your bed,1.7,5,0.2714093327522278,3,2,1.6648091860857819
brick,carve stone,2.2,2,0.2918495535850525,2,0,0.0
brick,break a window,1.5,3,0.28254783153533936,2,2,1.7169875042215468
brick,to make a patio,1.0,4,0.25867074728012085,2,1,0.7612293144208038
brick,to file a chipped nail  someone could rub their nail against the to even out the edge of the nail,2.6,20,0.36960530281066895,10,2,1.512158054711246
brick,You can use pieces of a to make tattoo,3.4,9,0.32380902767181396,4,1,1.5224586288416075
brick,Practice martial arts,1.4,3,0.38238704204559326,3,0,0.0
brick,use it as a step,1.1,5,0.2943958044052124,2,2,1.512158054711246
brick,stairs,1.4,1,0.3693857192993164,1,0,0.0
brick,pathway,1.7,1,0.4192989468574524,1,0,0.0
brick,use it as heat absorption,1.8,5,0.31950485706329346,3,2,1.512158054711246
brick,sink,1.3,1,0.3694814443588257,1,0,0.0
brick,a weapon,2.1,2,0.29556554555892944,1,1,0.7509287402904424
brick,to make the yellow road,1.8,5,0.2953796982765198,3,1,0.7612293144208038
brick,film holder (rolls of film),3.2,7,0.4035351276397705,6,1,0.9235055724417427
brick,booster seat,2.2,2,0.3658280372619629,2,0,0.0
brick,used to make sculptures,1.7,4,0.28665417432785034,3,1,1.5224586288416075
brick,use as a guide to draw a brick,2.0,8,0.293770968914032,4,1,1.5224586288416075
brick,a paperweight,1.3,2,0.276266872882843,1,0,0.0
brick,can step up on it to get a little height for reaching something,1.7,13,0.34738999605178833,6,2,2.445626477541371
brick,building a club house,1.0,4,0.3156638741493225,3,2,1.7169875042215468
brick,landscaping border,1.7,2,0.34493309259414673,2,0,0.0
brick,boil an egg,3.3,3,0.29746925830841064,2,0,0.0
brick,to jump over,1.8,3,0.3045661449432373,1,0,0.0
brick,a musical instrument,2.7,3,0.2927936911582947,2,0,0.0
brick,playhouse,1.2,1,0.38940662145614624,1,0,0.0
brick,make a house,1.0,3,0.28748172521591187,2,2,1.6648091860857819
brick,red,1.0,1,0.4000084400177002,1,0,0.0
brick,draw it,1.8,2,0.32782673835754395,1,1,0.7509287402904424
brick,glass breaker,1.5,2,0.3228524327278137,2,0,0.0
brick,to sit on,1.6,3,0.2992631196975708,1,0,0.0
brick,to make a house,1.0,4,0.2727277874946594,2,2,1.6648091860857819
brick,pizza ozen,2.3,2,0.36002689599990845,2,0,0.0
brick,hit someone over head with,3.2,5,0.34093624353408813,3,1,0.7509287402904424
brick,you can make a chair out of them,1.4,8,0.3315604329109192,2,2,1.6648091860857819
brick,self defense tool,1.7,3,0.30330532789230347,3,1,0.9235055724417427
brick,use as a stand,1.7,4,0.31242918968200684,2,2,1.5746369469773724
brick,ladder,1.0,1,0.37234050035476685,1,0,0.0
brick,stand on it with one foot and better your balance,1.8,10,0.35524439811706543,5,3,2.467916244511989
brick,make stairs out of bricks,1.0,5,0.2990944981575012,3,1,0.7612293144208038
brick,a lift for a tire if you're stuck in the mud,2.0,12,0.3232920169830322,5,2,1.7509287402904425
brick,a plate,2.5,2,0.28344660997390747,1,0,0.0
brick,to use for an art project,3.0,6,0.2851916551589966,3,1,1.5224586288416075
brick,swing,2.0,1,0.37447088956832886,1,0,0.0
brick,as a door stopper,1.7,4,0.29898256063461304,2,1,1.8470111448834854
